"lake","year","ba","type","size","times_treat","type_times_treat","cpue_1","cpue_2p","wr","psd_q","psd_p","psd_m","psd_t","mla_1","mla_2","mla_3","mla_4","mla_5","mla_6","mla_7","surv","size_class","type_treat"
"little pit","2018","after","treat",4,"1","treat2",0,32,82.8426877102102,72.7272727272727,3.03030303030303,3.03030303030303,0,NA,302.115384615385,311.909448818898,312.5,337.5,NA,NA,NA,"small","treat"
"little pit","2019","after","treat",4,"2","treat2",23,1,87.7221587179544,17.3913043478261,0,0,0,212.5,NA,NA,337.5,NA,NA,NA,0.638888888888889,"small","treat"
"lm","2018","before","control",3.4,"0","control",9,43,78.9380430258835,7.40740740740741,0,0,0,177.032019704433,235.069803516029,NA,NA,NA,NA,NA,NA,"small","control"
"lm","2019","after","control",3.4,"0","control",29,3,91.673901976797,20,20,20,0,178.879310344828,250,NA,NA,287.5,NA,NA,1.03571428571429,"small","control"
"mark","2018","before","control",3.3,"0","control",37,18,78.574474465503,16.8831168831169,2.5974025974026,0,0,163.851351351351,235.966257668712,237.5,NA,NA,NA,NA,NA,"small","control"
"mark","2019","after","control",3.3,"0","control",9,12,91.0493378362072,16.6666666666667,0,0,0,165.277777777778,254.166666666667,282.5,279.166666666667,312.5,NA,NA,0.132352941176471,"small","control"
"monroe county lake","2017","before","treat",34,"0","treat2",30,24,85.3702847144622,34.2857142857143,0,0,0,193.333333333333,297.794117647059,330.357142857143,NA,NA,NA,NA,NA,"big","control"
"monroe county lake","2018","after","treat",34,"1","treat2",15,53,92.9265466927419,42.6470588235294,0,0,0,230.833333333333,289.112903225806,322.794117647059,354.166666666667,350,NA,NA,0.75,"big","treat"
"monroe county lake","2019","after","treat",34,"2","treat2",53,13,93.0013447841966,38.4615384615385,3.84615384615385,0,0,225.617870722433,297.02380952381,329.166666666667,325,NA,NA,NA,0.720547945205479,"big","treat"
"promise","2018","before","control",1.9,"0","control",35,0,90.8495717121388,23.5294117647059,23.5294117647059,0,0,207.5,NA,NA,NA,NA,NA,NA,NA,"small","control"
"promise","2019","after","control",1.9,"0","control",7,1,86.8687020392116,36.3636363636364,9.09090909090909,0,0,226.785714285714,337.5,NA,NA,NA,NA,NA,0.4375,"small","control"
"s3","2017","before","treat",4,"0","treat2",85,0,90.2588115725383,38.8888888888889,5.55555555555556,0,0,156.617647058824,NA,NA,NA,NA,NA,NA,NA,"small","control"
"s3","2018","after","treat",4,"1","treat2",0,31,85.3095408764708,54.8387096774194,3.2258064516129,0,0,NA,293.581081081081,327.717391304348,337.5,365.948275862069,362.5,NA,NA,"small","treat"
"s3","2019","after","treat",4,"2","treat2",1,0,103.963759121077,0,0,0,0,262.5,NA,NA,NA,NA,NA,NA,0.0454545454545455,"small","treat"
"washington county lake","2017","before","treat",38,"0","treat1",54,16,88.7831577076169,27.2727272727273,0,0,0,213.888888888889,315.833333333333,337.5,NA,NA,NA,NA,NA,"big","control"
"washington county lake","2018","after","treat",38,"1","treat1",12,41,90.5441159282635,22,2,0,0,202.083333333333,286.785714285714,341.666666666667,NA,NA,NA,NA,0.75,"big","treat"
