"lake","year","ba","type","size","times_treat","type_times_treat","period","event","site","tl","tlgroup","count","date","size_class"
"ae1","2017","before","control",1.6,"0","control","before",1,11,NA,"75",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,11,NA,"100",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,11,NA,"125",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,12,NA,"0",10,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,12,NA,"25",11,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,12,NA,"50",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,12,NA,"75",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,12,NA,"100",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,12,NA,"125",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,13,NA,"0",2,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,13,NA,"25",7,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,13,NA,"50",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,13,NA,"75",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,13,NA,"100",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,13,NA,"125",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,14,NA,"0",4,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,14,NA,"25",12,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,14,NA,"50",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,14,NA,"75",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,14,NA,"100",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,14,NA,"125",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,15,NA,"0",7,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,15,NA,"25",15,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,15,NA,"50",1,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,15,NA,"75",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,15,NA,"100",0,"5/25","small"
"ae1","2017","before","control",1.6,"0","control","before",1,15,NA,"125",0,"5/25","small"
