"lake","year","ba","type","size","times_treat","type_times_treat","period","event","site","tl","tlgroup","count","date","size_class","type_treat"
"ae1","2018","after","control",1.6,"0","control","after",2,10,27,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,10,34,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,10,31,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,10,39,"50",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,10,33,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,10,28,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,10,27,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,10,40,"50",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,10,41,"50",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,10,29,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,10,37,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,10,39,"50",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,10,39,"50",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,10,40,"50",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,11,27,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,11,28,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,11,29,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,11,35,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,11,34,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,11,43,"50",1,"6/5/2018","small","control"
