"lake","year","ba","type","size","times_treat","type_times_treat","period","event","site","tl","tlgroup","count","date","size_class","type_treat"
"ae1","2018","after","control",1.6,"0","control","after",2,11,36,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,11,32,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,11,29,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,11,36,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,11,34,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,12,30,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,12,34,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,13,44,"50",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,14,28,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,15,33,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,15,41,"50",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,15,26,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,15,33,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,15,33,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,15,26,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,15,42,"50",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,15,28,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,15,34,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,15,38,"50",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,15,27,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,15,32,"25",1,"6/5/2018","small","control"
"ae1","2018","after","control",1.6,"0","control","after",2,15,28,"25",1,"6/5/2018","small","control"
